Date,Monthly,Monthly_MA
11/1/19,87.3,85
12/1/19,88.9,86.8
1/1/20,90.5,88.9
2/1/20,92.1,90.5
3/1/20,79.7,87.4
4/1/20,70.1,80.6
5/1/20,65.9,71.9
6/1/20,72.3,69.4
7/1/20,65.9,68
8/1/20,68.5,68.9
9/1/20,75.6,70
10/1/20,79.2,74.4
11/1/20,70.5,75.1
12/1/20,74.6,74.8
1/1/21,74,73
2/1/21,70.7,73.1
3/1/21,79.7,74.8
4/1/21,82.7,77.7
5/1/21,78.8,80.4
6/1/21,83.5,81.7
7/1/21,79,80.4
8/1/21,65.1,75.9
9/1/21,68.1,70.7
10/1/21,67.9,67
11/1/21,63.5,66.5
12/1/21,68.3,66.6
1/1/22,64.1,65.3
2/1/22,59.4,63.9
3/1/22,54.3,59.3
4/1/22,62.5,58.7
5/1/22,55.2,57.3
6/1/22,47.5,55.1
7/1/22,47.3,50
8/1/22,58,50.9
9/1/22,58,54.4
10/1/22,56.2,57.4
11/1/22,55.6,56.6
